timestamp,dist_to_goal,bearing_error,min_obstacle_dist,v_cmd,w_cmd,is_tracking,is_visible,goal_reached
1768074616.370731,0.3930509381301861,0.1716567983605255,1.9260051,0.17857142857142855,0.17647058823529416,1,1,0
1768074616.927544,0.3187841560055339,0.11795363737735731,1.9329036,0.125,0.10588235294117643,1,1,0
1768074617.487557,0.35665918525187673,0.07340058728170185,1.9617131,0.1607142857142857,0.07058823529411762,1,1,0
1768074618.038472,0.2700700874271781,0.0013920436198819885,1.9730551,0.125,0.0,1,1,0
1768074618.608817,0.34156162297412906,-0.01751017319965964,1.9642439,0.125,0.0,1,1,0
1768074619.1792994,0.2572340149974187,-0.05554630271558958,1.9192047,0.07142857142857142,-0.03529411764705881,1,1,0
1768074619.7264898,0.3336001612270714,-0.01522972174085968,1.8776392,0.07142857142857142,0.0,1,1,0
1768074620.2730482,0.4364629284979056,0.031185952705816256,1.8265854,0.19642857142857142,0.03529411764705881,1,1,0
1768074620.8044264,0.39761626720484566,0.04539279030318477,1.7788941,0.125,0.03529411764705881,1,1,0
1768074621.3588054,0.5075618697191973,0.08832607641311707,1.7442139,0.17857142857142855,0.07058823529411762,1,1,0
1768074619.5424423,0.41001029760724605,0.08391913999799039,1.705131,0.14285714285714285,0.07058823529411762,1,1,0
1768074622.0039213,0.48555013712662604,0.09401603095526534,1.550148,0.1607142857142857,0.07058823529411762,0,0,0
1768074622.495053,0.48555013712662604,0.09401603095526534,1.550148,0.1607142857142857,0.07058823529411762,0,0,0
1768074622.9762952,0.4795065615027754,0.09248217014552562,1.550148,0.1607142857142857,0.07058823529411762,0,0,0
1768074623.460708,0.4795065615027754,0.09248217014552562,1.5324342,0.1607142857142857,0.07058823529411762,0,0,0
1768074623.9598622,0.4746076595963908,0.09081237248936258,1.5324342,0.1607142857142857,0.07058823529411762,0,0,0
1768074624.4579132,0.4691678740841818,0.08948379440242382,1.5324342,0.1607142857142857,0.07058823529411762,0,0,0
1768074624.977986,0.4637265758975622,0.08833322299870572,1.5324342,0.1607142857142857,0.07058823529411762,0,0,0
1768074625.4712691,0.3929840286750093,0.07029674668973618,1.5187843,0.17857142857142855,0.07058823529411762,0,0,0
1768074626.0046766,0.4841969870435388,0.06008631033483525,1.4942111,0.17857142857142855,0.03529411764705881,1,1,0
1768074626.515049,0.3993533413177308,0.03298073175406646,1.4785297,0.19642857142857142,0.03529411764705881,1,1,0
1768074627.007705,0.4856638083762473,0.019326578993881682,1.4489427,0.19642857142857142,0.0,1,1,0
1768074627.5553017,0.39160122213787785,0.001461634825395297,1.4311465,0.17857142857142855,0.0,1,1,0
1768074628.1068084,0.4720035172878294,0.003266382948122981,1.3799121,0.21428571428571427,0.0,1,1,0
1768074628.6408153,0.5527663315935936,0.01534347934163316,1.3348051,0.23214285714285712,0.0,1,1,0
1768074629.1462574,0.44842020772382823,0.016260302836358154,1.2682678,0.17857142857142855,0.0,1,1,0
1768074629.6520212,0.5361540878995646,0.03022549378737871,1.202763,0.25,0.03529411764705881,1,1,0
1768074630.1659763,0.4263150028825931,0.03532593972430842,1.1556408,0.19642857142857142,0.03529411764705881,1,1,0
1768074630.6452584,0.5124235869470378,0.04971684642417484,1.0953898,0.21428571428571427,0.03529411764705881,1,1,0
1768074631.1763804,0.4003014615021756,0.045903764130177827,1.0728438,0.1607142857142857,0.03529411764705881,1,1,0
1768074631.6673374,0.4785135972374223,0.03867692764400532,1.0300957,0.21428571428571427,0.03529411764705881,1,1,0
1768074632.1597955,0.3832107742264973,0.029791155134641922,1.0166115,0.17857142857142855,0.03529411764705881,1,1,0
1768074632.6345782,0.4952117959872381,0.01697508498286604,1.0143963,0.17857142857142855,0.0,1,1,0
1768074633.1117814,0.3980363070020493,0.002336910550502669,0.9905171,0.17857142857142855,0.0,1,1,0
1768074633.5795178,0.5008050977244213,-0.008776458659147668,0.9813104,0.17857142857142855,0.0,1,1,0
1768074633.9942315,0.4158092663832372,-0.010940295474524131,1.0113684,0.1607142857142857,0.0,1,1,0
1768074634.3998792,0.5355093956518304,-0.007772690178140529,1.0190104,0.23214285714285712,0.0,1,1,0
1768074634.799901,0.46380953310487366,-0.010078003884037567,0.98160094,0.17857142857142855,0.0,1,1,0
1768074635.2017336,0.39468751697609256,-0.013111370207637307,0.9462883,0.14285714285714285,0.0,1,1,0
1768074635.5987666,0.48674559851295635,-0.010099652901124578,0.89956045,0.19642857142857142,0.0,1,1,0
1768074635.9777772,0.4211212180657138,-0.01225474165329965,0.8583068,0.17857142857142855,0.0,1,1,0
1768074636.402337,0.5470635632919497,-0.006532336265012262,0.82646674,0.25,0.0,1,1,0
1768074636.803009,0.4620660109055449,-0.007798303942426976,0.78872925,0.19642857142857142,0.0,1,1,0
1768074637.2184005,0.39413829273265044,-0.00914786263349221,0.7477073,0.17857142857142855,0.0,1,1,0
1768074637.6275165,0.4713523592545917,-0.00233431659201333,0.7054762,0.21428571428571427,0.0,1,1,0
1768074638.061717,0.398483923945581,-0.002757402949357335,0.69875,0.17857142857142855,0.0,1,1,0
1768074638.5672283,0.48777535562652036,0.003711302490065904,0.67311186,0.23214285714285712,0.0,1,1,0
1768074638.9890046,0.3845588012540724,0.004704161635788573,0.66279346,0.17857142857142855,0.0,1,1,0
1768074639.407809,0.3087359212193039,0.005863622145961589,0.66057885,0.14285714285714285,0.0,1,1,0
1768074639.868142,0.38892417787495637,0.012995085357920821,0.65803987,0.1607142857142857,0.0,1,1,0
1768074640.3062537,0.30872832157559105,0.016370470222922595,0.6996864,0.125,0.0,1,1,0
1768074640.8097138,0.40897540600367566,0.019979480130556393,0.73022306,0.17857142857142855,0.03529411764705881,1,1,0
